date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,rain_tomorrow,sin_doy,cos_doy,sin_woy,cos_woy,precipitation_roll3_mean,precipitation_roll3_std,pressure_roll3_mean,pressure_roll3_std,cloud_cover_roll3_mean,cloud_cover_roll3_std
1984-10-13,7.0,0.1,35.0,18.8,13.2,11.1,0.0,102660.0,0.0,0,-0.9741004551724207,0.22611568550828806,-0.9709418174260523,0.2393156642875574,0.0,0.0,102606.66666666667,75.71877794443228,5.666666666666667,1.527525231651965
1984-10-14,2.0,9.1,124.0,14.3,14.2,9.5,0.0,102910.0,0.0,0,-0.9700639218515075,0.24284972209593497,-0.9709418174260523,0.2393156642875574,0.0,0.0,102736.66666666667,150.44378795216937,5.0,2.6457513110645983
1984-10-15,6.0,0.1,34.0,15.5,10.6,6.9,0.0,102930.0,0.0,0,-0.9657399376548551,0.2595117970697995,-0.9350162426854148,0.3546048870425356,0.0,0.0,102833.33333333333,150.44378795216937,5.0,2.6457513110645983
1984-10-16,7.0,0.0,30.0,14.4,13.3,11.1,0.0,102520.0,0.0,1,-0.9611297838723012,0.27609697309746806,-0.9350162426854148,0.3546048870425356,0.0,0.0,102786.66666666667,231.15651263461928,5.0,2.6457513110645983
1984-10-17,8.0,0.1,33.0,15.4,13.0,11.5,2.5,101390.0,0.0,1,-0.956234826591906,0.292600335633348,-0.9350162426854148,0.3546048870425356,0.8333333333333334,1.443375672973887,102280.0,797.5587752636579,7.0,1.0000000000000417
1984-10-18,6.0,3.5,74.0,15.0,13.8,12.1,1.5,99710.0,0.0,1,-0.9510565162951538,0.3090169943749473,-0.9350162426854148,0.3546048870425356,1.3333333333333333,1.2583057392115962,101206.66666666667,1413.9424787923322,7.0,1.0000000000000417
1984-10-19,6.0,0.1,32.0,13.9,13.4,11.7,3.7,99200.0,0.0,0,-0.9455963874271426,0.3253420847119804,-0.9350162426854148,0.3546048870425356,2.566666666666667,1.1015141094570202,100100.0,1145.90575528709,6.666666666666667,1.1547005383792848
1984-10-20,2.0,8.2,108.0,15.8,11.2,8.5,0.0,100430.0,0.0,1,-0.9398560579418956,0.3415707691678552,-0.9350162426854148,0.3546048870425356,1.7333333333333334,1.8610033136275868,99780.0,617.9805822192766,4.666666666666667,2.3094010767585105
1984-10-21,5.0,4.3,78.0,16.6,10.2,4.7,5.8,101800.0,0.0,1,-0.9338372288229252,0.3576982388331255,-0.9350162426854148,0.3546048870425356,3.1666666666666665,2.936551265231533,100476.66666666667,1300.6280534162736,4.333333333333333,2.0816659994661393
1984-10-22,8.0,0.0,27.0,13.9,12.4,8.1,5.5,100770.0,0.0,0,-0.9275416835791968,0.37371971479046845,-0.88545602565321,0.464723172043768,3.766666666666667,3.265475973473537,101000.0,713.3722730805192,5.0,3.0000000000000067
1984-10-23,6.0,2.6,61.0,15.8,12.2,10.6,0.0,101240.0,0.0,1,-0.9209712877166345,0.3896304495307878,-0.88545602565321,0.464723172043768,3.766666666666667,3.2654759734735364,101270.0,515.6549233742143,6.333333333333333,1.5275252316519674
1984-10-24,7.0,0.0,26.0,15.0,11.0,6.2,8.1,100690.0,0.0,0,-0.914127988185334,0.4054257283599965,-0.88545602565321,0.464723172043768,4.533333333333332,4.135617648348668,100900.0,297.153159162185,7.0,1.0000000000000375
